Time; Input; Output
48,06; 0; -1,5329345
48,12; 0; -1,3523408
48,18; 0; -1,1777056
48,24; 0; -1,0105333
48,3; 0; -0,82313338
48,36; 0; -0,69960577
48,42; 0; -0,55316543
48,48; 0; -0,39924306
48,54; 0; -0,2789397
48,6; 0; -0,15279058
48,66; 0; -0,027993648
48,72; 0; 0,047389615
48,78; 0; 0,14300527
48,84; 0; 0,24555254
48,9; 0; 0,30045253
48,96; 0; 0,37975201
49,02; 0; 0,40119158
49,08; 0; 0,48195531
49,14; 0; 0,50690832
49,2; 0; 0,56282828
49,26; 0; 0,58417452
49,32; 0; 0,62972826
49,38; 0; 0,617738
49,44; 0; 0,6346385
49,5; 0; 0,63116239
49,56; 0; 0,65551992
49,62; 0; 0,66619192
49,68; 0; 0,65378133
49,74; 0; 0,66349286
49,8; 0; 0,66025284
49,86; 0; 0,64378772
49,92; 0; 0,65735443
49,98; 0; 0,65100384
50,04; 0; 0,62607776
50,1; 0; 0,64378718
50,16; 0; 0,62273334
50,22; 0; 0,61039766
50,28; 0; 0,61789621
50,34; 0; 0,57508588
50,4; 0; 0,61209623
50,46; 0; 0,58389709
50,52; 0; 0,57559086
50,58; 0; 0,57054035
50,64; 0; 0,5823764
50,7; 0; 0,56379005
50,76; 0; 0,55879242
50,82; 0; 0,54514872
50,88; 0; 0,5454588
50,94; 0; 0,55408964
51; 0; 0,56030648
51,06; 0; 0,57039772
51,12; 0; 0,53791564
51,18; 0; 0,55324163
51,24; 0; 0,53805341
51,3; 0; 0,53591247
51,36; 0; 0,55086534
51,42; 0; 0,55019385
51,48; 0; 0,53268543
51,54; 0; 0,55929831
51,6; 0; 0,55970167
51,66; 0; 0,55887452
51,72; 0; 0,55303156
51,78; 0; 0,55353387
51,84; 0; 0,54960077
51,9; 0; 0,57599279
51,96; 0; 0,56371378
52,02; 0; 0,55670455
52,08; 0; 0,56150956
52,14; 0; 0,56483552
52,2; 0; 0,57980232
52,26; 0; 0,5681608
52,32; 0; 0,57088766
52,38; 0; 0,58324861
52,44; 0; 0,56126864
52,5; 0; 0,59163071
52,56; 0; 0,5834973
52,62; 0; 0,59087557
52,68; 0; 0,59543054
52,74; 0; 0,59769428
52,8; 0; 0,60270556
52,86; 0; 0,60375361
52,92; 0; 0,60567315
52,98; 0; 0,61158034
53,04; 0; 0,60836663
53,1; 0; 0,59450042
53,16; 0; 0,58317696
53,22; 0; 0,60555361
53,28; 0; 0,61703209
53,34; 0; 0,61677317
53,4; 0; 0,60113071
53,46; 0; 0,61562469
53,52; 0; 0,58586897
53,58; 0; 0,61426802
53,64; 0; 0,59579495
53,7; 0; 0,60708078
53,76; 0; 0,62471981
53,82; 0; 0,62533156
53,88; 0; 0,61693714
53,94; 0; 0,61887787
